Fluid	StartDate	StartTime	EndDate	EndTime	T	dT	p	dp	tau	dtau
ARGON	2023.05.09	08:49:07	2023.05.09	08:52:10	293.460367408118	0.00748610209184756	5.01962503836676	0.00119455107189507	0.00256953888888889	1.98902219101709e-09
ARGON	2023.05.09	08:52:11	2023.05.09	08:55:15	293.456544358407	0.0090284287700989	5.01876451917846	0.00140566427062422	0.00256953780381945	2.2556419398144e-09
ARGON	2023.05.09	08:55:16	2023.05.09	08:58:20	293.455899945591	0.00914412172970256	5.01827136516438	0.00130693262964339	0.0025695375406901	2.33446552001024e-09
ARGON	2023.05.09	09:40:20	2023.05.09	09:43:24	293.468732185985	0.00402238786635918	5.01759509772965	0.0013766267387776	0.00256954025743273	1.91759533135328e-09
ARGON	2023.05.09	09:43:25	2023.05.09	09:46:28	293.454957168708	0.0162433699753321	5.01789027061845	0.0014324177457689	0.00256953812391493	3.56874800935656e-09
ARGON	2023.05.09	09:46:29	2023.05.09	09:49:33	293.463509623683	0.00520205996203647	5.01801361018322	0.00137619975520315	0.00256953698730468	2.46522673598779e-09
ARGON	2023.05.09	10:21:02	2023.05.09	10:24:05	293.457288233077	0.00810903030342985	10.1085658225992	0.000836682001650667	0.00257637017822265	2.1036425297193e-09
ARGON	2023.05.09	10:24:06	2023.05.09	10:27:09	293.44860407314	0.00761905054315611	10.1091230723601	0.00154820867656896	0.00257636678331163	2.08910032063789e-09
ARGON	2023.05.09	10:27:10	2023.05.09	10:30:13	293.446990239829	0.00627948494570137	10.108571606396	0.00150265746832005	0.00257636583251953	2.01939100182163e-09
ARGON	2023.05.09	13:12:58	2023.05.09	13:16:02	293.458753567263	0.00508346360467992	20.0142245304314	0.00173720948647202	0.00258947035725911	2.14300519962365e-09
ARGON	2023.05.09	13:16:03	2023.05.09	13:19:07	293.458494400086	0.00450903044855186	20.0150189042076	0.00162473400804035	0.00258946978352865	2.0543470589869e-09
ARGON	2023.05.09	13:19:08	2023.05.09	13:22:11	293.454202053695	0.00757334088019116	20.013707753928	0.00165338785970579	0.00258946815728082	2.17296428192825e-09
ARGON	2023.05.09	13:59:52	2023.05.09	14:02:55	293.451585179671	0.00800020916687481	39.9638771733134	0.00181353906414621	0.0026098324991862	2.03983341008018e-09
ARGON	2023.05.09	14:02:56	2023.05.09	14:05:59	293.469383608439	0.00558697237391088	39.9616908265106	0.00197755252062792	0.00260983434516059	1.97321705504158e-09
ARGON	2023.05.09	14:06:00	2023.05.09	14:09:03	293.454775032041	0.0114894600742174	39.9597432293579	0.00234370875413455	0.00260983064507379	3.00605514616535e-09
ARGON	2023.05.09	14:40:39	2023.05.09	14:43:42	293.467217809831	0.00413534231392682	59.985487330321	0.00289858283507888	0.00262247609863281	2.08762984953968e-09
ARGON	2023.05.09	14:43:43	2023.05.09	14:46:46	293.468429590135	0.00338434477527344	59.9814097546578	0.00284567008005733	0.00262247441813151	2.11018558274966e-09
ARGON	2023.05.09	14:46:47	2023.05.09	14:49:51	293.444161851831	0.0120745839216973	59.978104170737	0.00276875323175578	0.00262246880832249	3.11236719850586e-09
ARGON	2023.05.09	15:52:31	2023.05.09	15:55:35	293.449995167072	0.00955326723219288	80.1814865391423	0.00307561852104349	0.00263104598659939	2.43905425919128e-09
ARGON	2023.05.09	15:55:36	2023.05.09	15:58:40	293.463618899457	0.00794886939950904	80.1782917137376	0.00330531495308047	0.00263104667426215	2.40501248383058e-09
ARGON	2023.05.09	15:58:41	2023.05.09	16:01:45	293.467867830225	0.00514627327624397	80.1742765421399	0.00331738141614755	0.00263104565972222	1.80275399929089e-09
